date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:31	3227/3227	---MCZ	200	added ('OK')	text/html	etag:W/%223227-1557891555046%22	http://nec.netease.com/book	C:/My%20Websites/css/nec.netease.com/book.html	(from http://nec.netease.com/)
14:48:31	7694/7694	---MCZ	200	added ('OK')	text/html	etag:W/%227694-1557891555046%22	http://nec.netease.com/framework/css-reset.html	C:/My%20Websites/css/nec.netease.com/framework/css-reset.html	(from http://nec.netease.com/framework)
14:48:31	8146/8146	---MCZ	200	added ('OK')	text/html	etag:W/%228146-1557891555046%22	http://nec.netease.com/framework/css-function.html	C:/My%20Websites/css/nec.netease.com/framework/css-function.html	(from http://nec.netease.com/framework)
14:48:32	7140/7140	---MCZ	200	added ('OK')	text/html	etag:W/%227140-1557891555046%22	http://nec.netease.com/framework/css-media.html	C:/My%20Websites/css/nec.netease.com/framework/css-media.html	(from http://nec.netease.com/framework)
14:48:32	7151/7151	---MCZ	200	added ('OK')	text/html	etag:W/%227151-1557891555046%22	http://nec.netease.com/framework/css-animation.html	C:/My%20Websites/css/nec.netease.com/framework/css-animation.html	(from http://nec.netease.com/framework)
14:48:32	7368/7368	---MCZ	200	added ('OK')	text/html	etag:W/%227368-1557891555046%22	http://nec.netease.com/framework/html-template.html	C:/My%20Websites/css/nec.netease.com/framework/html-template.html	(from http://nec.netease.com/framework)
14:48:32	7356/7356	---MCZ	200	added ('OK')	text/html	etag:W/%227356-1557891555046%22	http://nec.netease.com/framework/html-email.html	C:/My%20Websites/css/nec.netease.com/framework/html-email.html	(from http://nec.netease.com/framework)
14:48:33	8587/8587	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2006:48:32%20GMT	http://nec.netease.com/library/category/grid	C:/My%20Websites/css/nec.netease.com/library/category/grid.html	(from http://nec.netease.com/library)
14:48:33	11743/11743	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2006:48:32%20GMT	http://nec.netease.com/library/category/module	C:/My%20Websites/css/nec.netease.com/library/category/module.html	(from http://nec.netease.com/library)
14:48:33	10010/10010	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2006:48:32%20GMT	http://nec.netease.com/library/category/unit	C:/My%20Websites/css/nec.netease.com/library/category/unit.html	(from http://nec.netease.com/library)
14:48:33	9460/9460	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Mar%202021%2006:48:33%20GMT	http://nec.netease.com/library/category/bug	C:/My%20Websites/css/nec.netease.com/library/category/bug.html	(from http://nec.netease.com/library)
